sampleid	well_position	project
18QY0182	A-A01	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0183	A-B01	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0184	A-C01	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0185	A-D01	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0186	A-E01	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0187	A-F01	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0188	A-G01	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0189	A-H01	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0190	A-A02	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0191	A-B02	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0192	A-C02	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0193	A-D02	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0194	A-E02	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0195	A-F02	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0196	A-G02	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0197	A-H02	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0198	A-A03	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0199	A-B03	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0200	A-C03	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0201	A-D03	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0202	A-E03	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0203	A-F03	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0204	A-G03	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0205	A-H03	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0206	A-A04	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0207	A-B04	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0208	A-C04	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0209	A-D04	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0210	A-E04	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0211	A-F04	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0212	A-G04	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0213	A-H04	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0214	A-A05	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0215	A-B05	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0216	A-C05	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0238	A-D05	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0239	A-E05	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0240	A-F05	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0241	A-G05	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0242	A-H05	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0243	A-A06	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0244	A-B06	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0245	A-C06	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0246	A-D06	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0246-2	A-E06	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0247	A-F06	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0248	A-G06	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0249	A-H06	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0250	A-A07	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0251	A-B07	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0252	A-C07	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0253	A-D07	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0254	A-E07	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0255	A-F07	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0256	A-G07	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0257	A-H07	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0258	A-A08	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0259	A-B08	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0260	A-C08	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0261	A-D08	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0262	A-E08	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0263	A-F08	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0264	A-G08	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0265	A-H08	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0266	A-A09	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0267	A-B09	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0268	A-C09	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0269	A-D09	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0270	A-E09	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0271	A-F09	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0272	A-G09	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0273	A-H09	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0274	A-A10	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0275	A-B10	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0276	A-C10	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0277	A-D10	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0278	A-E10	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0279	A-F10	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0280	A-G10	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0281	A-H10	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0282	A-A11	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0283	A-B11	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0284	A-C11	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0285	A-D11	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0286	A-E11	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0287	A-F11	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0288	A-G11	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0289	A-H11	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0290	A-A12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0291	A-B12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0292	A-C12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0293	A-D12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0294_1	A-E12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0294_2	A-F12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0294_3	A-G12	HarborSealScat_HS_5-6_SPID.0185-0186
Kang_HS_05	A-H12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0295	B-A01	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0296	B-B01	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0297	B-C01	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0298	B-D01	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0299	B-E01	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0300	B-F01	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0301	B-G01	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0302	B-H01	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0303	B-A02	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0304	B-B02	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0305	B-C02	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0306	B-D02	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0307	B-E02	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0308	B-F02	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0309	B-G02	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0310	B-H02	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0311	B-A03	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0312	B-B03	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0313	B-C03	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0314	B-D03	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0315	B-E03	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0316	B-F03	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0317	B-G03	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0318	B-H03	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0319	B-A04	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0320	B-B04	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0321	B-C04	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0322	B-D04	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0323	B-E04	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0324	B-F04	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0325	B-G04	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0326	B-H04	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0327	B-A05	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0328	B-B05	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0329	B-C05	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0330	B-D05	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0331	B-E05	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0332	B-F05	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0333	B-G05	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0334	B-H05	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0335	B-A06	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0336	B-B06	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0337	B-C06	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0338	B-D06	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0339	B-E06	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0340	B-F06	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0341	B-G06	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0342	B-H06	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0343	B-A07	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0344	B-B07	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0345	B-C07	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0346	B-D07	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0347	B-E07	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0348	B-F07	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0349	B-G07	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0350	B-H07	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0351	B-A08	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0352	B-B08	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0353	B-C08	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0354	B-D08	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0355	B-E08	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0356	B-F08	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0357	B-G08	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0358	B-H08	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0359	B-A09	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0360	B-B09	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0361	B-C09	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0362	B-D09	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0363	B-E09	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0364	B-F09	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0365	B-G09	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0366	B-H09	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0367	B-A10	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0368	B-B10	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0369	B-C10	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0370	B-D10	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0371	B-E10	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0372	B-F10	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0373	B-G10	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0374	B-H10	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0375	B-A11	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0376	B-B11	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0377	B-C11	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0378	B-D11	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0379	B-E11	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0380	B-F11	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0381	B-G11	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0382	B-H11	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0383	B-A12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0384	B-B12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0385	B-C12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0386	B-D12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0387_1	B-E12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0387_2	B-F12	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0387_3	B-G12	HarborSealScat_HS_5-6_SPID.0185-0186
Kang_HS_06	B-H12	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_551_A	C-A01	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_552_A	C-B01	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_553_A	C-C01	HarborSealScat_HS_5-6_SPID.0185-0186
