Species,Common_name,Target_species,MiFish_taxon_assign,18S_taxon_assign,diet_sp
Gasterosteus aculeatus,Three-spined stickleback,3SpinStick,Gasterosteus aculeatus,Actinopteri,
Alosa sapidissima,American shad,AmShad,Alosa sapidissima,Actinopteri,
Clevelandia ios,Arrow goby,ArrGob,Clevelandia ios,Actinopteri,
Salmo salar,Atlantic salmon,AtlSal,Salmo salar,Actinopteri,
Lepidogobius lepidus,Bay goby,BayGob,Lepidogobius lepidus,Actinopteri,
Syngnathus leptorhynchus,bay pipe fish,BayPip,Syngnathus leptorhynchus,Actinopteri,
Crangon spp.,Bay shrimp,BayShr,,Crangon,
Lycodes pacificus,Blackbelly eelpout,BlkEelpt,Lycodes,Actinopteri,
Sebastes melanops,Black rockfish,BlkRock,Sebastes,Actinopteri,
Penaeus monodon,Black-Tiger Shrimp,BlkTigShrVAQ,,Penaeus monodon,prawn
Sebastes auriculatus,Brown Rockfish,BrRckFish,Sebastes,Actinopteri,
Raja binoculata,Big skate,BSkate,Raja binoculata,Rajidae,
Enophrys bison,Buffalo sculpin,BufSculp,Enophrys bison,Actinopteri,
Isopsetta isolepis,Butter sole,ButtSol,Pleuronectidae,Actinopteri,
Diaphus theta,California headlightfish,CalHeadl,Diaphus theta,Actinopteri,
Sebastes pinniger,Canary Rockfish,CanRock,Sebastes,Actinopteri,
Oncorhynchus tshawytscha,Chinook salmon,ChinSal,Oncorhynchus tshawytscha,Actinopteri,
Oncorhynchus keta,Chum salmon ad,ChumSalVAQ,Oncorhynchus keta,Actinopteri,salmon_2
Oncorhynchus keta,Chum salmon juv,ChumSal,Oncorhynchus keta,Actinopteri,
Anoplarchus purpurescens,High Cockscomb,Cockscomb,Anoplarchus,Actinopteri,
Oncorhynchus kisutch,Coho salmon,Coho,Oncorhynchus kisutch,Actinopteri,
Oncorhynchus kisutch,Coho salmon,Coho_VAQ,Oncorhynchus kisutch,Actinopteri,salmon_1
Oncorhynchus kisutch,Coho salmon,CohoSal,Oncorhynchus kisutch,Actinopteri,
Pandalus hypsinotus,Coonstripe shrimp,CoonStShrp,,Pandalus,
Pleuronichthys coenosus,C-O sole,COSol,Pleuronichthys coenosus,Actinopteri,
Pholis laeta,Crescent gunnel,CresGun,Pholis laeta,Actinopteri,
Sebastes caurinus,Copper rockfish,CURock,Sebastes,Actinopteri,
Chirolophis decoratus,Decorated warbonnet,DecWarb,Chirolophis,Actinopteri,
Microstomus pacificus,Dover sole,DovSol,Microstomus pacificus,Actinopteri,
Eumatopias jubatus,Steller Sea lion,Ej,Chordata,Mammalia,
Parophrys vetulus,English sole,EngSol,Parophrys vetulus,Actinopteri,
Thaleichthys pacificus,Eulachon,Eulach,Thaleichthys pacificus,Actinopteri,
Hippoglossoides elassodon,Flathead sole,FltHdSol,Hippoglossoides,Actinopteri,
Neotrypaea californiensis,Bay ghost shrimp,GhShrmp,,Neotrypaea,
Enteroctopus dofleini,Giant Pacific octopus,GPO,,Cephalopoda,
Myoxocephalus polycanthocephalus,Great sculpin,GrtSculp,Myoxocephalus,Actinopteri,
Merluccius productus,Hake,Hake,Merluccius productus,Actinopteri,
Spirinchus thaleichthys,Longfin smelt,LfinSmel,Spirinchus thaleichthys,Actinopteri,
Ophiodon elongatus,Lingcod,Lingcod,Ophiodon elongatus,Actinopteri,
Beringraja rhina,Longnose skate,LnoseSkate,Beringraja rhina,Rajidae,
Liparis dennyi,Marbled snailfish,MarbSnail,Liparis,Actinopteri,
Berryteuthis magister,Magister armhook squid,MgArmSq,,Cephalopoda,
Doryteuthis opalescens,Market squid,MktSq,,Cephalopoda,
Nereis vexillosa,Mussel polychaete worm,MusPolyWorm,,Nereididae,
Engraulis mordax,Northern anchovy,NAnch,Engraulis mordax,Actinopteri,
Gobiesox maeandricus,Northern Clingfish,NCling,Gobiesox maeandricus,Actinopteri,
Stenobrachius leucopsaurus,Northern lampfish,NorLamp,Stenobrachius leucopsaurus,Actinopteri,
Ronquilus jordani,Northern ronquil,NorRonq,Ronquilus jordani,Actinopteri,
Icelinus borealis,Northern sculpin,NorSculp,Icelinus borealis,Actinopteri,
Agonopsis vulsa,Northern Spearnose Poacher,NSpearPoach,Agonopsis vulsa,Actinopteri,
Gadus macrocephalus,Pacific cod/grey harbor,PacCod,Gadus macrocephalus,Actinopteri,
Clupea pallasii,Pacific herring,PacHer,Clupea pallasii,Actinopteri,herring
Entosphenus tridentatus (Lampetra genus),Pacific lamprey,PacLamp,Lampetra,Lampetra fluviatilis,
Citharichthys sordidus,Pacific sanddab,PacSanddab,Citharichthys sordidus,Actinopteri,
Microgadus proximus,Pacific tomcod,PacTom,Microgadus proximus,Actinopteri,
Artedius fenestralis,Padded sculpin,PadSculp,Artedius fenestralis,Actinopteri,
Porichthys notatus,Plainfin midshipman,PlfinMid,Porichthys notatus,Actinopteri,
Oncorhynchus gorbuscha,Pink salmon,PnkSal,Oncorhynchus gorbuscha,Actinopteri,
Pandalus jordani,Pink shrimp,PnkShrmp,,Pandalus,
Peprilus simillimus,Pacific pompano,Pompano,Peprilus,Actinopteri,
Rhacochilus vacca,Pile perch,PPerch,Rhacochilus,Actinopteri,
Ammodytes personatus,Pacific sandlance,PacSanLan,Ammodytes personatus,Actinopteri,
Eumicrotremus orbis,Pacific spiny lumpsucker,PSLump,Eumicrotremus orbis,Actinopteri,
Leptocottus armatus,Pacific staghorn sculpin,PstahSculp,Leptocottus armatus,Actinopteri,
Phoca vitulina,Harbor Seal,Pv,Chordata,Mammalia,
Sebastes maliger,Quillback rockfish,QuilRock,Sebastes,Actinopteri,
Hydrolagus colliei,Ratfish,Ratfish,Hydrolagus colliei,Actinopteri,
Brosmophycis marginata,Red brotula,RBratula,Brosmophycis marginata,Actinopteri,
Lepidopsetta bilineata,Rock sole,Rcksol,Lepidopsetta,Actinopteri,
Octopus rubescens,Red octopus,RedOcto,,Cephalopoda,
Glyptocephalus zachirus,Rex sole,RexSol,Glyptocephalus zachirus,Actinopteri,
Sebastes spp 1,rockfish 1,RF1,Sebastes,Actinopteri,
Sebastes spp 2,rockfish 2,RF2,Sebastes,Actinopteri,
Hemilepidotus hemilepidotus,Red Irish Lord,RIrishL,Hemilepidotus hemilepidotus,Actinopteri,
Lampetra fluviatilis,river lamprey?,RivLamp,Lampetra,Lampetra fluviatilis,
Chitonotus pugetensis,Roughback sculpin,RoughSculp,Chitonotus pugetensis,Actinopteri,
Pholis ornata,Saddleback gunnel,SaddleGun,Pholis ornata,Actinopteri,
Nautichthys oculofasciatus,Sailfin sculpin,SailSculp,Nautichthys oculofasciatus,Actinopteri,
Cymatogaster aggregata,Shiner perch,ShinPer,Cymatogaster aggregata,Actinopteri,
Liparis pulchellus,Showy snailfish,ShowSnail,Liparis pulchellus,Actinopteri,
Lyopsetta exilis,Slender sole,SlendSol,Lyopsetta exilis,Actinopteri,
Radulinus asprellus,Slim sculpin,SlimSculp,Radulinus asprellus,Actinopteri,
Liparis fucensis,Slipskin snailfish,SlipSnail,Liparis fucensis,Actinopteri,
Artedius lateralis,Smoothhead sculpin,SmoothSculp,Artedius lateralis,Actinopteri,
Lumpenus sagitta,Snake prickleback,SnakPrick,Lumpenus sagitta,Actinopteri,
Oncorhynchus nerka,Sockeye salmon,SockSal,Oncorhynchus nerka,Actinopteri,
Squalus acanthias/Squalus suckleyi,Spiny-dogfish,SpDog,Squalus suckleyi,Squalus suckleyi,
Citharichthys stigmaeus,Speckled sanddab,SpecSdab,Citharichthys stigmaeus,Actinopteri,
Embiotoca lateralis,Striped seaperch,SPerch,Embiotoca lateralis,Actinopteri,
Arctozenus risso,Spotted barracudina,SpotBarr,Arctozenus risso,Actinopteri,
Pandalus platyceros,Spot prawn,SptPrawn,,Pandalus,
Doryteuthis opalescens,Market squid,SqVAQ,,Cephalopoda,squid
Platichthys stellatus,Starry flounder,StarFloun,Platichthys,Actinopteri,
Oncorhynchus mykiss,Steelhead,SteelHd,Oncorhynchus mykiss,Actinopteri,
Rossia pacifica,Stubby squid,StubSq,,Cephalopoda,
Podothecus accipenserinus,Sturgeon Poacher,SturPoach,Podothecus accipenserinus,Actinopteri,
Hypomesus pretiosus,Surf smelt,SurfSmel,Hypomesus pretiosus,Actinopteri,
Oligocottus maculosus,Tidepool sculpin,TpoolSculp,Oligocottus,Actinopteri,
Aulorhynchus flavidus,Tubesnout,Tsnout,Aulorhynchus flavidus,Actinopteri,
Penaeus monodon,Unknown shrimp,UnkVAQShr,,Penaeus monodon,prawn
Mallotus villosus,Capelin,VAQCapelin,Mallotus villosus,Actinopteri,capelin
Merluccius productus,Hake,VAQHake,Merluccius productus,Actinopteri,hake
Gadus chalcogrammus,Walleye pollock,WalPol,Gadus chalcogrammus,Actinopteri,
Hexagrammos stelleri,Whitespotted greenling,WhitGreen,Hexagrammos stelleri,Actinopteri,
Zalophus californianus,California Sea lion,Zc,Chordata,Mammalia,
