"sampleid","project","Plate_ID","Well_ID","samplename","tech_rep","Demultiplex_ID","Index_set","region","sp_abbrev","sample","Target_species","Target_sampleID","Target_initial_mass","PacHer_initial_mass","Mixture_final_mass","prop_target","prop_ref","Species","Common_name","MiFish_taxon_assign","18S_taxon_assign","diet_sp","time","creek","station","biol","tech","formatted_biol","station_num_18S","model_out_name_18S"
"TM_A10","CorrectionBiasPvDiet","Prey18S_3","A10","TM_01_LnoseSkate",1,"TM_A10","C","TissueMix","LnoseSkate","TM_01_LnoseSkate","LnoseSkate","01_LNoseSkate",2.006,2.006,4.165,0.481632653061224,0.481632653061224,"Beringraja rhina","Longnose skate","Beringraja rhina","Rajidae",NA,1,"TM","LnoseSkate",1,1,"01",7,"1_TM_7_1"
"TM_A10","CorrectionBiasPvDiet","Prey18S_3","A10","TM_01_LnoseSkate",1,"TM_A10","C","TissueMix","LnoseSkate","TM_01_LnoseSkate","LnoseSkate","01_LNoseSkate",2.006,2.006,4.165,0.481632653061224,0.481632653061224,"Beringraja rhina","Longnose skate","Beringraja rhina","Rajidae",NA,1,"TM","LnoseSkate",1,1,"01",7,"1_TM_7_1"
"TM_A11","CorrectionBiasPvDiet","Prey18S_3","A11","TM_01_SqVAQ",3,"TM_A11","C","TissueMix","SqVAQ","TM_01_SqVAQ_03","SqVAQ","01_SqVAQ",2.8,2.8,5.44,0.514705882352941,0.514705882352941,"Doryteuthis opalescens","Market squid",NA,"Cephalopoda","squid",1,"TM","SqVAQ",1,3,"01",17,"1_TM_17_1"
"TM_A12","CorrectionBiasPvDiet","Prey18S_3","A12","TM_02_MusPolyWorm",1,"TM_A12","C","TissueMix","MusPolyWorm","TM_02_MusPolyWorm","MusPolyWorm","02_MusPolyWorm",1.37,1.368,2.73,0.501831501831502,0.501098901098901,"Nereis vexillosa","Mussel polychaete worm",NA,"Nereididae",NA,1,"TM","MusPolyWorm",2,1,"02",10,"1_TM_10_2"
"TM_A6","CorrectionBiasPvDiet","Prey18S_3","A6","TM_01_MgArmSq",1,"TM_A6","C","TissueMix","MgArmSq","TM_01_MgArmSq","MgArmSq","01_MgArmSq",2.001,2.001,4.156,0.481472569778633,0.481472569778633,"Berryteuthis magister","Magister armhook squid",NA,"Cephalopoda",NA,1,"TM","MgArmSq",1,1,"01",8,"1_TM_8_1"
"TM_A7","CorrectionBiasPvDiet","Prey18S_3","A7","TM_03_MktSq",1,"TM_A7","C","TissueMix","MktSq","TM_03_MktSq","MktSq","03_MktSq",5.086,5.08,10.062,0.505466110117273,0.504869807195389,"Doryteuthis opalescens","Market squid",NA,"Cephalopoda",NA,1,"TM","MktSq",3,1,"03",9,"1_TM_9_3"
"TM_A8","CorrectionBiasPvDiet","Prey18S_3","A8","TM_01_RedOcto",2,"TM_A8","C","TissueMix","RedOcto","TM_01_RedOcto_02","RedOcto","01_RedOcto",2.006,2.006,4.018,0.499253359880538,0.499253359880538,"Octopus rubescens","Red octopus",NA,"Cephalopoda",NA,1,"TM","RedOcto",1,2,"01",13,"1_TM_13_1"
"TM_A9","CorrectionBiasPvDiet","Prey18S_3","A9","TM_01_PnkShrmp",1,"TM_A9","C","TissueMix","PnkShrmp","TM_01_PnkShrmp","PnkShrmp","01_PnkShrimp_01",5.05982,5.01766,10.08825,0.501555770326865,0.497376651054445,"Pandalus jordani","Pink shrimp",NA,"Pandalus",NA,1,"TM","PnkShrmp",1,1,"01",11,"1_TM_11_1"
"TM_B10","CorrectionBiasPvDiet","Prey18S_3","B10","TM_02_LnoseSkate",1,"TM_B10","C","TissueMix","LnoseSkate","TM_02_LnoseSkate","LnoseSkate","02_LNoseSkate",2.008,2.005,4.07,0.493366093366093,0.492628992628993,"Beringraja rhina","Longnose skate","Beringraja rhina","Rajidae",NA,1,"TM","LnoseSkate",2,1,"02",7,"1_TM_7_2"
"TM_B10","CorrectionBiasPvDiet","Prey18S_3","B10","TM_02_LnoseSkate",1,"TM_B10","C","TissueMix","LnoseSkate","TM_02_LnoseSkate","LnoseSkate","02_LNoseSkate",2.008,2.005,4.07,0.493366093366093,0.492628992628993,"Beringraja rhina","Longnose skate","Beringraja rhina","Rajidae",NA,1,"TM","LnoseSkate",2,1,"02",7,"1_TM_7_2"
"TM_B11","CorrectionBiasPvDiet","Prey18S_3","B11","TM_01_GhShrmp",1,"TM_B11","C","TissueMix","GhShrmp","TM_01_GhShrmp","GhShrmp","01_GhShrimp_01",2,2,3.693,0.541565123206066,0.541565123206066,"Neotrypaea californiensis","Bay ghost shrimp",NA,"Neotrypaea",NA,1,"TM","GhShrmp",1,1,"01",6,"1_TM_6_1"
"TM_B12","CorrectionBiasPvDiet","Prey18S_3","B12","TM_03_MusPolyWorm",1,"TM_B12","C","TissueMix","MusPolyWorm","TM_03_MusPolyWorm","MusPolyWorm","03_MusPolyWorm",2.85,2.849,5.463,0.521691378363537,0.521508328757093,"Nereis vexillosa","Mussel polychaete worm",NA,"Nereididae",NA,1,"TM","MusPolyWorm",3,1,"03",10,"1_TM_10_3"
"TM_B6","CorrectionBiasPvDiet","Prey18S_3","B6","TM_02_MgArmSq",1,"TM_B6","C","TissueMix","MgArmSq","TM_02_MgArmSq","MgArmSq","02_MgArmSq",2,2,3.719,0.537778972842162,0.537778972842162,"Berryteuthis magister","Magister armhook squid",NA,"Cephalopoda",NA,1,"TM","MgArmSq",2,1,"02",8,"1_TM_8_2"
"TM_B7","CorrectionBiasPvDiet","Prey18S_3","B7","TM_01_GPO",1,"TM_B7","C","TissueMix","GPO","TM_01_GPO","GPO","01_GPO",2.007,2.007,3.771,0.532219570405728,0.532219570405728,"Enteroctopus dofleini","Giant Pacific octopus",NA,"Cephalopoda",NA,1,"TM","GPO",1,1,"01",5,"1_TM_5_1"
"TM_B8","CorrectionBiasPvDiet","Prey18S_3","B8","TM_01_RedOcto",3,"TM_B8","C","TissueMix","RedOcto","TM_01_RedOcto_03","RedOcto","01_RedOcto",2.006,2.006,4.018,0.499253359880538,0.499253359880538,"Octopus rubescens","Red octopus",NA,"Cephalopoda",NA,1,"TM","RedOcto",1,3,"01",13,"1_TM_13_1"
"TM_B9","CorrectionBiasPvDiet","Prey18S_3","B9","TM_02_PnkShrmp",1,"TM_B9","C","TissueMix","PnkShrmp","TM_02_PnkShrmp","PnkShrmp","02_PnkShrimp_01",5.05698,5.08658,10.06609,0.502377785217498,0.505318351018121,"Pandalus jordani","Pink shrimp",NA,"Pandalus",NA,1,"TM","PnkShrmp",2,1,"02",11,"1_TM_11_2"
"TM_C10","CorrectionBiasPvDiet","Prey18S_3","C10","TM_03_LnoseSkate",1,"TM_C10","C","TissueMix","LnoseSkate","TM_03_LnoseSkate","LnoseSkate","03_LNoseSkate",2.007,2.003,3.893,0.515540714102235,0.514513228872335,"Beringraja rhina","Longnose skate","Beringraja rhina","Rajidae",NA,1,"TM","LnoseSkate",3,1,"03",7,"1_TM_7_3"
"TM_C10","CorrectionBiasPvDiet","Prey18S_3","C10","TM_03_LnoseSkate",1,"TM_C10","C","TissueMix","LnoseSkate","TM_03_LnoseSkate","LnoseSkate","03_LNoseSkate",2.007,2.003,3.893,0.515540714102235,0.514513228872335,"Beringraja rhina","Longnose skate","Beringraja rhina","Rajidae",NA,1,"TM","LnoseSkate",3,1,"03",7,"1_TM_7_3"
"TM_C11","CorrectionBiasPvDiet","Prey18S_3","C11","TM_02_GhShrmp",1,"TM_C11","C","TissueMix","GhShrmp","TM_02_GhShrmp","GhShrmp","02_GhShrimp_01",2.005,2.006,3.808,0.526523109243697,0.526785714285714,"Neotrypaea californiensis","Bay ghost shrimp",NA,"Neotrypaea",NA,1,"TM","GhShrmp",2,1,"02",6,"1_TM_6_2"
"TM_C12","CorrectionBiasPvDiet","Prey18S_3","C12","TM_01_BlkTigShrVAQ",1,"TM_C12","C","TissueMix","BlkTigShrVAQ","TM_01_BlkTigShrVAQ","BlkTigShrVAQ","01_BlkTigShrVAQ",2.002,2,3.899,0.513464991023339,0.512952038984355,"Penaeus monodon","Black-Tiger Shrimp",NA,"Penaeus monodon","prawn",1,"TM","BlkTigShrVAQ",1,1,"01",3,"1_TM_3_1"
"TM_C6","CorrectionBiasPvDiet","Prey18S_3","C6","TM_03_MgArmSq",1,"TM_C6","C","TissueMix","MgArmSq","TM_03_MgArmSq","MgArmSq","03_MgArmSq",2,2,4.072,0.491159135559921,0.491159135559921,"Berryteuthis magister","Magister armhook squid",NA,"Cephalopoda",NA,1,"TM","MgArmSq",3,1,"03",8,"1_TM_8_3"
"TM_C7","CorrectionBiasPvDiet","Prey18S_3","C7","TM_02_GPO",1,"TM_C7","C","TissueMix","GPO","TM_02_GPO_01","GPO","02_GPO",2.008,2.008,3.931,0.510811498346477,0.510811498346477,"Enteroctopus dofleini","Giant Pacific octopus",NA,"Cephalopoda",NA,1,"TM","GPO",2,1,"02",5,"1_TM_5_2"
"TM_C8","CorrectionBiasPvDiet","Prey18S_3","C8","TM_01_CoonStShrp",1,"TM_C8","C","TissueMix","CoonStShrp","TM_01_CoonStShrp","CoonStShrp","01_CoonStrShr",1.902,1.903,3.657,0.520098441345365,0.520371889526935,"Pandalus hypsinotus","Coonstripe shrimp",NA,"Pandalus",NA,1,"TM","CoonStShrp",1,1,"01",4,"1_TM_4_1"
"TM_C9","CorrectionBiasPvDiet","Prey18S_3","C9","TM_03_PnkShrmp",1,"TM_C9","C","TissueMix","PnkShrmp","TM_03_PnkShrmp","PnkShrmp","03_PnkShrimp_01",5.07174,5.08406,10.05738,0.504280438841925,0.505505409957663,"Pandalus jordani","Pink shrimp",NA,"Pandalus",NA,1,"TM","PnkShrmp",3,1,"03",11,"1_TM_11_3"
"TM_D10","CorrectionBiasPvDiet","Prey18S_3","D10","TM_01_RivLamp",1,"TM_D10","C","TissueMix","RivLamp","TM_01_RivLamp","RivLamp","01_RivLamp",5.0325,5.01318,9.70681,0.518450448705599,0.516460093480762,"Lampetra fluviatilis","river lamprey?","Lampetra","Lampetra fluviatilis",NA,1,"TM","RivLamp",1,1,"01",14,"1_TM_14_1"
"TM_D10","CorrectionBiasPvDiet","Prey18S_3","D10","TM_01_RivLamp",1,"TM_D10","C","TissueMix","RivLamp","TM_01_RivLamp","RivLamp","01_RivLamp",5.0325,5.01318,9.70681,0.518450448705599,0.516460093480762,"Lampetra fluviatilis","river lamprey?","Lampetra","Lampetra fluviatilis",NA,1,"TM","RivLamp",1,1,"01",14,"1_TM_14_1"
"TM_D11","CorrectionBiasPvDiet","Prey18S_3","D11","TM_03_GhShrmp",1,"TM_D11","C","TissueMix","GhShrmp","TM_03_GhShrmp","GhShrmp","03_GhShrimp_01",2.006,2.006,3.836,0.522940563086548,0.522940563086548,"Neotrypaea californiensis","Bay ghost shrimp",NA,"Neotrypaea",NA,1,"TM","GhShrmp",3,1,"03",6,"1_TM_6_3"
"TM_D12","CorrectionBiasPvDiet","Prey18S_3","D12","TM_02_BlkTigShrVAQ",1,"TM_D12","C","TissueMix","BlkTigShrVAQ","TM_02_BlkTigShrVAQ","BlkTigShrVAQ","02_BlkTigShrVAQ",2.008,2.007,3.81,0.527034120734908,0.526771653543307,"Penaeus monodon","Black-Tiger Shrimp",NA,"Penaeus monodon","prawn",1,"TM","BlkTigShrVAQ",2,1,"02",3,"1_TM_3_2"
"TM_D6","CorrectionBiasPvDiet","Prey18S_3","D6","TM_01_BayShr",1,"TM_D6","C","TissueMix","BayShr","TM_01_BayShr","BayShr","01_BayShr",0.286,0.287,0.598,0.478260869565217,0.479933110367893,"Crangon spp.","Bay shrimp",NA,"Crangon",NA,1,"TM","BayShr",1,1,"01",2,"1_TM_2_1"
"TM_D7","CorrectionBiasPvDiet","Prey18S_3","D7","TM_02_GPO",2,"TM_D7","C","TissueMix","GPO","TM_02_GPO_02","GPO","02_GPO",2.008,2.008,3.931,0.510811498346477,0.510811498346477,"Enteroctopus dofleini","Giant Pacific octopus",NA,"Cephalopoda",NA,1,"TM","GPO",2,2,"02",5,"1_TM_5_2"
"TM_D8","CorrectionBiasPvDiet","Prey18S_3","D8","TM_02_CoonStShrp",1,"TM_D8","C","TissueMix","CoonStShrp","TM_02_CoonStShrp_01","CoonStShrp","02_CoonStrShr",1.999,1.998,3.891,0.513749678745824,0.51349267540478,"Pandalus hypsinotus","Coonstripe shrimp",NA,"Pandalus",NA,1,"TM","CoonStShrp",2,1,"02",4,"1_TM_4_2"
"TM_D9","CorrectionBiasPvDiet","Prey18S_3","D9","TM_01_SpDog",1,"TM_D9","C","TissueMix","SpDog","TM_01_SpDog","SpDog","01_SpDog",2.007,2.007,3.907,0.513693370872792,0.513693370872792,"Squalus acanthias/Squalus suckleyi","Spiny-dogfish","Squalus suckleyi","Squalus suckleyi",NA,1,"TM","SpDog",1,1,"01",15,"1_TM_15_1"
"TM_D9","CorrectionBiasPvDiet","Prey18S_3","D9","TM_01_SpDog",1,"TM_D9","C","TissueMix","SpDog","TM_01_SpDog","SpDog","01_SpDog",2.007,2.007,3.907,0.513693370872792,0.513693370872792,"Squalus acanthias/Squalus suckleyi","Spiny-dogfish","Squalus suckleyi","Squalus suckleyi",NA,1,"TM","SpDog",1,1,"01",15,"1_TM_15_1"
"TM_E10","CorrectionBiasPvDiet","Prey18S_3","E10","TM_02_RivLamp",1,"TM_E10","C","TissueMix","RivLamp","TM_02_RivLamp","RivLamp","02_RivLamp",5.06652,5.06542,9.8549,0.514111761661711,0.51400014206131,"Lampetra fluviatilis","river lamprey?","Lampetra","Lampetra fluviatilis",NA,1,"TM","RivLamp",2,1,"02",14,"1_TM_14_2"
"TM_E10","CorrectionBiasPvDiet","Prey18S_3","E10","TM_02_RivLamp",1,"TM_E10","C","TissueMix","RivLamp","TM_02_RivLamp","RivLamp","02_RivLamp",5.06652,5.06542,9.8549,0.514111761661711,0.51400014206131,"Lampetra fluviatilis","river lamprey?","Lampetra","Lampetra fluviatilis",NA,1,"TM","RivLamp",2,1,"02",14,"1_TM_14_2"
"TM_E11","CorrectionBiasPvDiet","Prey18S_3","E11","TM_01_StubSq",1,"TM_E11","C","TissueMix","StubSq","TM_01_StubSq_01","StubSq","01_StubSq",0.427,0.424,0.829,0.515078407720145,0.51145958986731,"Rossia pacifica","Stubby squid",NA,"Cephalopoda",NA,1,"TM","StubSq",1,1,"01",18,"1_TM_18_1"
"TM_E12","CorrectionBiasPvDiet","Prey18S_3","E12","TM_03_BlkTigShrVAQ",1,"TM_E12","C","TissueMix","BlkTigShrVAQ","TM_03_BlkTigShrVAQ","BlkTigShrVAQ","03_BlkTigShrVAQ",2.004,2.002,3.95,0.507341772151899,0.506835443037975,"Penaeus monodon","Black-Tiger Shrimp",NA,"Penaeus monodon","prawn",1,"TM","BlkTigShrVAQ",3,1,"03",3,"1_TM_3_3"
"TM_E6","CorrectionBiasPvDiet","Prey18S_3","E6","TM_02_BayShr",1,"TM_E6","C","TissueMix","BayShr","TM_02_BayShr","BayShr","02_BayShr",0.647,0.649,1.355,0.477490774907749,0.478966789667897,"Crangon spp.","Bay shrimp",NA,"Crangon",NA,1,"TM","BayShr",2,1,"02",2,"1_TM_2_2"
"TM_E7","CorrectionBiasPvDiet","Prey18S_3","E7","TM_01_Ratfish",1,"TM_E7","C","TissueMix","Ratfish","TM_01_Ratfish","Ratfish","01_RatFish_01",5.06715,5.0336,10.31423,0.491277584463406,0.488024796809844,"Hydrolagus colliei","Ratfish","Hydrolagus colliei","Actinopteri",NA,1,"TM","Ratfish",1,1,"01",12,"1_TM_12_1"
"TM_E7","CorrectionBiasPvDiet","Prey18S_3","E7","TM_01_Ratfish",1,"TM_E7","C","TissueMix","Ratfish","TM_01_Ratfish","Ratfish","01_RatFish_01",5.06715,5.0336,10.31423,0.491277584463406,0.488024796809844,"Hydrolagus colliei","Ratfish","Hydrolagus colliei","Actinopteri",NA,1,"TM","Ratfish",1,1,"01",12,"1_TM_12_1"
"TM_E8","CorrectionBiasPvDiet","Prey18S_3","E8","TM_02_CoonStShrp",2,"TM_E8","C","TissueMix","CoonStShrp","TM_02_CoonStShrp_02","CoonStShrp","02_CoonStrShr",1.999,1.998,3.891,0.513749678745824,0.51349267540478,"Pandalus hypsinotus","Coonstripe shrimp",NA,"Pandalus",NA,1,"TM","CoonStShrp",2,2,"02",4,"1_TM_4_2"
"TM_E9","CorrectionBiasPvDiet","Prey18S_3","E9","TM_02_SpDog",1,"TM_E9","C","TissueMix","SpDog","TM_02_SpDog","SpDog","04_SpDog",2.006,2.006,4.1,0.489268292682927,0.489268292682927,"Squalus acanthias/Squalus suckleyi","Spiny-dogfish","Squalus suckleyi","Squalus suckleyi",NA,1,"TM","SpDog",2,1,"02",15,"1_TM_15_2"
"TM_E9","CorrectionBiasPvDiet","Prey18S_3","E9","TM_02_SpDog",1,"TM_E9","C","TissueMix","SpDog","TM_02_SpDog","SpDog","04_SpDog",2.006,2.006,4.1,0.489268292682927,0.489268292682927,"Squalus acanthias/Squalus suckleyi","Spiny-dogfish","Squalus suckleyi","Squalus suckleyi",NA,1,"TM","SpDog",2,1,"02",15,"1_TM_15_2"
"TM_F10","CorrectionBiasPvDiet","Prey18S_3","F10","TM_03_RivLamp",1,"TM_F10","C","TissueMix","RivLamp","TM_03_RivLamp","RivLamp","03_RivLamp",5.0538,5.02172,9.89515,0.510735057073415,0.507493064784263,"Lampetra fluviatilis","river lamprey?","Lampetra","Lampetra fluviatilis",NA,1,"TM","RivLamp",3,1,"03",14,"1_TM_14_3"
"TM_F10","CorrectionBiasPvDiet","Prey18S_3","F10","TM_03_RivLamp",1,"TM_F10","C","TissueMix","RivLamp","TM_03_RivLamp","RivLamp","03_RivLamp",5.0538,5.02172,9.89515,0.510735057073415,0.507493064784263,"Lampetra fluviatilis","river lamprey?","Lampetra","Lampetra fluviatilis",NA,1,"TM","RivLamp",3,1,"03",14,"1_TM_14_3"
"TM_F11","CorrectionBiasPvDiet","Prey18S_3","F11","TM_01_StubSq",2,"TM_F11","C","TissueMix","StubSq","TM_01_StubSq_02","StubSq","01_StubSq",0.427,0.424,0.829,0.515078407720145,0.51145958986731,"Rossia pacifica","Stubby squid",NA,"Cephalopoda",NA,1,"TM","StubSq",1,2,"01",18,"1_TM_18_1"
"TM_F12","CorrectionBiasPvDiet","Prey18S_3","F12","TM_01_UnkVAQShr",1,"TM_F12","C","TissueMix","UnkVAQShr","TM_01_UnkVAQShr","UnkVAQShr","01_UnkVAQShr",1.82,1.82,3.506,0.519110096976612,0.519110096976612,"Penaeus monodon","Unknown shrimp",NA,"Penaeus monodon","prawn",1,"TM","UnkVAQShr",1,1,"01",19,"1_TM_19_1"
"TM_F6","CorrectionBiasPvDiet","Prey18S_3","F6","TM_03_BayShr",1,"TM_F6","C","TissueMix","BayShr","TM_03_BayShr","BayShr","03_BayShr",0.38,0.38,0.747,0.508701472556894,0.508701472556894,"Crangon spp.","Bay shrimp",NA,"Crangon",NA,1,"TM","BayShr",3,1,"03",2,"1_TM_2_3"
"TM_F7","CorrectionBiasPvDiet","Prey18S_3","F7","TM_02_Ratfish",1,"TM_F7","C","TissueMix","Ratfish","TM_02_Ratfish","Ratfish","02_RatFish_01",5.03029,5.0914,10.42997,0.482291895374579,0.488150972629835,"Hydrolagus colliei","Ratfish","Hydrolagus colliei","Actinopteri",NA,1,"TM","Ratfish",2,1,"02",12,"1_TM_12_2"
"TM_F7","CorrectionBiasPvDiet","Prey18S_3","F7","TM_02_Ratfish",1,"TM_F7","C","TissueMix","Ratfish","TM_02_Ratfish","Ratfish","02_RatFish_01",5.03029,5.0914,10.42997,0.482291895374579,0.488150972629835,"Hydrolagus colliei","Ratfish","Hydrolagus colliei","Actinopteri",NA,1,"TM","Ratfish",2,1,"02",12,"1_TM_12_2"
"TM_F8","CorrectionBiasPvDiet","Prey18S_3","F8","TM_01_SptPrawn",1,"TM_F8","C","TissueMix","SptPrawn","TM_01_SptPrawn","SptPrawn","01_SptPrawn_01",5.02116,5.02943,9.71262,0.516972763270879,0.517824232802272,"Pandalus platyceros","Spot prawn",NA,"Pandalus",NA,1,"TM","SptPrawn",1,1,"01",16,"1_TM_16_1"
"TM_F9","CorrectionBiasPvDiet","Prey18S_3","F9","TM_03_SpDog",1,"TM_F9","C","TissueMix","SpDog","TM_03_SpDog","SpDog","05_SpDog",2.006,2.004,3.899,0.514490895101308,0.513977943062324,"Squalus acanthias/Squalus suckleyi","Spiny-dogfish","Squalus suckleyi","Squalus suckleyi",NA,1,"TM","SpDog",3,1,"03",15,"1_TM_15_3"
"TM_F9","CorrectionBiasPvDiet","Prey18S_3","F9","TM_03_SpDog",1,"TM_F9","C","TissueMix","SpDog","TM_03_SpDog","SpDog","05_SpDog",2.006,2.004,3.899,0.514490895101308,0.513977943062324,"Squalus acanthias/Squalus suckleyi","Spiny-dogfish","Squalus suckleyi","Squalus suckleyi",NA,1,"TM","SpDog",3,1,"03",15,"1_TM_15_3"
"TM_G10","CorrectionBiasPvDiet","Prey18S_3","G10","TM_01_SqVAQ",1,"TM_G10","C","TissueMix","SqVAQ","TM_01_SqVAQ_01","SqVAQ","01_SqVAQ",2.8,2.8,5.44,0.514705882352941,0.514705882352941,"Doryteuthis opalescens","Market squid",NA,"Cephalopoda","squid",1,"TM","SqVAQ",1,1,"01",17,"1_TM_17_1"
"TM_G11","CorrectionBiasPvDiet","Prey18S_3","G11","TM_01_StubSq",3,"TM_G11","C","TissueMix","StubSq","TM_01_StubSq_03","StubSq","01_StubSq",0.427,0.424,0.829,0.515078407720145,0.51145958986731,"Rossia pacifica","Stubby squid",NA,"Cephalopoda",NA,1,"TM","StubSq",1,3,"01",18,"1_TM_18_1"
"Plate3_G12","CorrectionBiasPvDiet","Prey18S_3","G12","TM_02_UnkVAQShr",1,"Plate3_G12","C","TissueMix","UnkVAQShr","TM_02_UnkVAQShr","UnkVAQShr","02_UnkVAQShr",1.981,1.981,3.871,0.511754068716094,0.511754068716094,"Penaeus monodon","Unknown shrimp",NA,"Penaeus monodon","prawn",1,"TM","UnkVAQShr",2,1,"02",19,"1_TM_19_2"
"TM_G6","CorrectionBiasPvDiet","Prey18S_3","G6","TM_01_MktSq",1,"TM_G6","C","TissueMix","MktSq","TM_01_MktSq","MktSq","01_MktSq",5.003,5.014,9.548,0.523984080435693,0.525136154168412,"Doryteuthis opalescens","Market squid",NA,"Cephalopoda",NA,1,"TM","MktSq",1,1,"01",9,"1_TM_9_1"
"TM_G7","CorrectionBiasPvDiet","Prey18S_3","G7","TM_03_Ratfish",1,"TM_G7","C","TissueMix","Ratfish","TM_03_Ratfish","Ratfish","03_RatFish_01",5.07318,5.03659,10.40932,0.487369011616513,0.483853892473284,"Hydrolagus colliei","Ratfish","Hydrolagus colliei","Actinopteri",NA,1,"TM","Ratfish",3,1,"03",12,"1_TM_12_3"
"TM_G7","CorrectionBiasPvDiet","Prey18S_3","G7","TM_03_Ratfish",1,"TM_G7","C","TissueMix","Ratfish","TM_03_Ratfish","Ratfish","03_RatFish_01",5.07318,5.03659,10.40932,0.487369011616513,0.483853892473284,"Hydrolagus colliei","Ratfish","Hydrolagus colliei","Actinopteri",NA,1,"TM","Ratfish",3,1,"03",12,"1_TM_12_3"
"TM_G8","CorrectionBiasPvDiet","Prey18S_3","G8","TM_03_SptPrawn",1,"TM_G8","C","TissueMix","SptPrawn","TM_03_SptPrawn","SptPrawn","03_SptPrawn_01",5.00136,5.00148,9.81556,0.509533842185265,0.509546067672145,"Pandalus platyceros","Spot prawn",NA,"Pandalus",NA,1,"TM","SptPrawn",3,1,"03",16,"1_TM_16_3"
"TM_G9","CorrectionBiasPvDiet","Prey18S_3","G9","TM_01_BSkate",2,"TM_G9","C","TissueMix","BSkate","TM_01_BSkate_02","BSkate","01_BSkate",1.913,1.914,3.827,0.499869349359812,0.500130650640188,"Raja binoculata","Big skate","Raja binoculata","Rajidae",NA,1,"TM","BSkate",1,2,"01",1,"1_TM_1_1"
"TM_H10","CorrectionBiasPvDiet","Prey18S_3","H10","TM_01_SqVAQ",2,"TM_H10","C","TissueMix","SqVAQ","TM_01_SqVAQ_02","SqVAQ","01_SqVAQ",2.8,2.8,5.44,0.514705882352941,0.514705882352941,"Doryteuthis opalescens","Market squid",NA,"Cephalopoda","squid",1,"TM","SqVAQ",1,2,"01",17,"1_TM_17_1"
"TM_H11","CorrectionBiasPvDiet","Prey18S_3","H11","TM_01_MusPolyWorm",1,"TM_H11","C","TissueMix","MusPolyWorm","TM_01_MusPolyWorm","MusPolyWorm","01_MusPolyWorm",2.302,2.3,4.492,0.51246660730187,0.512021371326803,"Nereis vexillosa","Mussel polychaete worm",NA,"Nereididae",NA,1,"TM","MusPolyWorm",1,1,"01",10,"1_TM_10_1"
"Plate3_H12","CorrectionBiasPvDiet","Prey18S_3","H12","TM_03_UnkVAQShr",1,"Plate3_H12","C","TissueMix","UnkVAQShr","TM_03_UnkVAQShr","UnkVAQShr","03_UnkVAQShr",2.067,2.066,3.932,0.525686673448627,0.525432349949135,"Penaeus monodon","Unknown shrimp",NA,"Penaeus monodon","prawn",1,"TM","UnkVAQShr",3,1,"03",19,"1_TM_19_3"
"TM_H5","CorrectionBiasPvDiet","Prey18S_3","H5","TM_01_BSkate",1,"TM_H5","C","TissueMix","BSkate","TM_01_BSkate_01","BSkate","01_BSkate",1.913,1.914,3.827,0.499869349359812,0.500130650640188,"Raja binoculata","Big skate","Raja binoculata","Rajidae",NA,1,"TM","BSkate",1,1,"01",1,"1_TM_1_1"
"TM_H6","CorrectionBiasPvDiet","Prey18S_3","H6","TM_02_MktSq",1,"TM_H6","C","TissueMix","MktSq","TM_02_MktSq","MktSq","02_MktSq",5.048,5.099,10.084,0.50059500198334,0.505652518841729,"Doryteuthis opalescens","Market squid",NA,"Cephalopoda",NA,1,"TM","MktSq",2,1,"02",9,"1_TM_9_2"
"TM_H7","CorrectionBiasPvDiet","Prey18S_3","H7","TM_01_RedOcto",1,"TM_H7","C","TissueMix","RedOcto","TM_01_RedOcto_01","RedOcto","01_RedOcto",2.006,2.006,4.018,0.499253359880538,0.499253359880538,"Octopus rubescens","Red octopus",NA,"Cephalopoda",NA,1,"TM","RedOcto",1,1,"01",13,"1_TM_13_1"
"TM_H8","CorrectionBiasPvDiet","Prey18S_3","H8","TM_02_SptPrawn",1,"TM_H8","C","TissueMix","SptPrawn","TM_02_SptPrawn","SptPrawn","02_SptPrawn_01",5.01678,5.01529,9.6086,0.522113523302042,0.521958453885061,"Pandalus platyceros","Spot prawn",NA,"Pandalus",NA,1,"TM","SptPrawn",2,1,"02",16,"1_TM_16_2"
"TM_H9","CorrectionBiasPvDiet","Prey18S_3","H9","TM_02_BSkate",1,"TM_H9","C","TissueMix","BSkate","TM_02_BSkate","BSkate","02_BSkate",1.837,1.84,3.674,0.5,0.50081654872074,"Raja binoculata","Big skate","Raja binoculata","Rajidae",NA,1,"TM","BSkate",2,1,"02",1,"1_TM_1_2"
"TM_H9","CorrectionBiasPvDiet","Prey18S_3","H9","TM_02_BSkate",1,"TM_H9","C","TissueMix","BSkate","TM_02_BSkate","BSkate","02_BSkate",1.837,1.84,3.674,0.5,0.50081654872074,"Raja binoculata","Big skate","Raja binoculata","Rajidae",NA,1,"TM","BSkate",2,1,"02",1,"1_TM_1_2"
