"sampleid","project","Plate_ID","Well_ID","samplename","tech_rep","Demultiplex_ID","Index_set","region","sp_abbrev","sample","Target_species","Target_sampleID","Target_initial_mass","PacHer_initial_mass","Mixture_final_mass","prop_target","prop_ref","Species","Common_name","MiFish_taxon_assign","18S_taxon_assign","diet_sp","time","creek","station","biol","tech","formatted_biol","station_num_MiF","model_out_name_MiF"
"TM_01_BrRockfish","CorrectionBiasPvDiet","MiFish_4","A1","TM_01_BrRckFish",1,"TM_01_BrRockfish","D","TissueMix","BrRckFish","TM_01_BrRckFish","BrRckFish","01_BrRckFish",1.901,1.898,3.798,0.500526592943655,0.499736703528173,"Sebastes auriculatus","Brown Rockfish","Sebastes","Actinopteri",NA,1,"TM","BrRckFish",1,1,"01",7,"1_TM_7_1"
"TM_A10","CorrectionBiasPvDiet","MiFish_3","A10","TM_01_NAnch",1,"TM_A10","C","TissueMix","NAnch","TM_01_NAnch","NAnch","01_Nanch",2.001,2.002,4.535,0.441234840132304,0.441455347298787,"Engraulis mordax","Northern anchovy","Engraulis mordax","Actinopteri",NA,1,"TM","NAnch",1,1,"01",26,"1_TM_26_1"
"TM_03_QuilRockF","CorrectionBiasPvDiet","MiFish_4","A10","TM_03_QuilRock",1,"TM_03_QuilRockF","D","TissueMix","QuilRock","TM_03_QuilRock","QuilRock","03_QuilRock",2.002,2.002,3.871,0.517179023508137,0.517179023508137,"Sebastes maliger","Quillback rockfish","Sebastes","Actinopteri",NA,1,"TM","QuilRock",3,1,"03",40,"1_TM_40_3"
"TM_A11","CorrectionBiasPvDiet","MiFish_3","A11","TM_03_WalPol",1,"TM_A11","C","TissueMix","WalPol","TM_03_WalPol","WalPol","03_WalPol",2,2,3.967,0.504159314343332,0.504159314343332,"Gadus chalcogrammus","Walleye pollock","Gadus chalcogrammus","Actinopteri",NA,1,"TM","WalPol",3,1,"03",58,"1_TM_58_3"
"TM_02_BlkEelpt","CorrectionBiasPvDiet","MiFish_4","A11","TM_02_BlkEelpt",1,"TM_02_BlkEelpt","D","TissueMix","BlkEelpt","TM_02_BlkEelpt","BlkEelpt","02_BlkEelpt_01",5.0482,5.04474,10.22193,0.493859770121689,0.49352128218448,"Lycodes pacificus","Blackbelly eelpout","Lycodes","Actinopteri",NA,1,"TM","BlkEelpt",2,1,"02",6,"1_TM_6_2"
"TM_A12","CorrectionBiasPvDiet","MiFish_3","A12","TM_01_FltHdSol",1,"TM_A12","C","TissueMix","FltHdSol","TM_01_FltHdSol","FltHdSol","01_FltHdSol",2.002,2.003,3.812,0.525183630640084,0.525445960125918,"Hippoglossoides elassodon","Flathead sole","Hippoglossoides","Actinopteri",NA,1,"TM","FltHdSol",1,1,"01",20,"1_TM_20_1"
"TM_01_LfinSmel","CorrectionBiasPvDiet","MiFish_4","A12","TM_01_LfinSmel",1,"TM_01_LfinSmel","D","TissueMix","LfinSmel","TM_01_LfinSmel","LfinSmel","01_LfSmelt",1.634,1.632,3.245,0.503543913713405,0.502927580893683,"Spirinchus thaleichthys","Longfin smelt","Spirinchus thaleichthys","Actinopteri",NA,1,"TM","LfinSmel",1,1,"01",23,"1_TM_23_1"
"TM_02_Hake","CorrectionBiasPvDiet","MiFish_4","A2","TM_02_Hake",1,"TM_02_Hake","D","TissueMix","Hake","TM_02_Hake","Hake","02_Hake",2.002,2.001,3.911,0.511889542316543,0.511633853234467,"Merluccius productus","Hake","Merluccius productus","Actinopteri",NA,1,"TM","Hake",2,1,"02",22,"1_TM_22_2"
"TM_01_GrtSculp","CorrectionBiasPvDiet","MiFish_4","A3","TM_01_GrtSculp",1,"TM_01_GrtSculp","D","TissueMix","GrtSculp","TM_01_GrtSculp","GrtSculp","01_GrtSculp",5.00682,5.0261,10.1117,0.495151161525757,0.497057863662886,"Myoxocephalus polycanthocephalus","Great sculpin","Myoxocephalus","Actinopteri",NA,1,"TM","GrtSculp",1,1,"01",21,"1_TM_21_1"
"TM_03_PnkSal","CorrectionBiasPvDiet","MiFish_4","A4","TM_03_PnkSal",1,"TM_03_PnkSal","D","TissueMix","PnkSal","TM_03_PnkSal","PnkSal","03_PnkSal",1.925,1.936,3.85,0.5,0.502857142857143,"Oncorhynchus gorbuscha","Pink salmon","Oncorhynchus gorbuscha","Actinopteri",NA,1,"TM","PnkSal",3,1,"03",37,"1_TM_37_3"
"Plate3_A5","CorrectionBiasPvDiet","MiFish_3","A5","TM_03_NSpearPoach",1,"Plate3_A5","C","TissueMix","NSpearPoach","TM_03_NSpearPoach","NSpearPoach","03_NSpearPoach",5.07021,5.09762,10.5115,0.482348856014841,0.484956476240308,"Agonopsis vulsa","Northern Spearnose Poacher","Agonopsis vulsa","Actinopteri",NA,1,"TM","NSpearPoach",3,1,"03",28,"1_TM_28_3"
"TM_03_Coho_VAQ","CorrectionBiasPvDiet","MiFish_4","A5","TM_03_CohoVAQ",1,"TM_03_Coho_VAQ","D","TissueMix","Coho_VAQ","TM_03_CohoVAQ","Coho_VAQ","03_Coho_VAQ",2.007,2.008,3.871,0.518470679411005,0.518729010591578,"Oncorhynchus kisutch","Coho salmon","Oncorhynchus kisutch","Actinopteri","salmon_1",1,"TM","CohoVAQ",3,1,"03",16,"1_TM_16_3"
"TM_A6","CorrectionBiasPvDiet","MiFish_3","A6","TM_02_Ratfish",1,"TM_A6","C","TissueMix","Ratfish","TM_02_Ratfish","Ratfish","02_RatFish_01",5.03029,5.0914,10.42997,0.482291895374579,0.488150972629835,"Hydrolagus colliei","Ratfish","Hydrolagus colliei","Actinopteri",NA,1,"TM","Ratfish",2,1,"02",41,"1_TM_41_2"
"TM_A6","CorrectionBiasPvDiet","MiFish_3","A6","TM_02_Ratfish",1,"TM_A6","C","TissueMix","Ratfish","TM_02_Ratfish","Ratfish","02_RatFish_01",5.03029,5.0914,10.42997,0.482291895374579,0.488150972629835,"Hydrolagus colliei","Ratfish","Hydrolagus colliei","Actinopteri",NA,1,"TM","Ratfish",2,1,"02",41,"1_TM_41_2"
"TM_02_SockSal","CorrectionBiasPvDiet","MiFish_4","A6","TM_02_SockSal",1,"TM_02_SockSal","D","TissueMix","SockSal","TM_02_SockSal","SockSal","02_SockSal",2.001,2.001,3.834,0.521909233176839,0.521909233176839,"Oncorhynchus nerka","Sockeye salmon","Oncorhynchus nerka","Actinopteri",NA,1,"TM","SockSal",2,1,"02",49,"1_TM_49_2"
"TM_A7","CorrectionBiasPvDiet","MiFish_3","A7","TM_02_SpDog",1,"TM_A7","C","TissueMix","SpDog","TM_02_SpDog","SpDog","04_SpDog",2.006,2.006,4.1,0.489268292682927,0.489268292682927,"Squalus acanthias/Squalus suckleyi","Spiny-dogfish","Squalus suckleyi","Squalus suckleyi",NA,1,"TM","SpDog",2,1,"02",50,"1_TM_50_2"
"TM_A7","CorrectionBiasPvDiet","MiFish_3","A7","TM_02_SpDog",1,"TM_A7","C","TissueMix","SpDog","TM_02_SpDog","SpDog","04_SpDog",2.006,2.006,4.1,0.489268292682927,0.489268292682927,"Squalus acanthias/Squalus suckleyi","Spiny-dogfish","Squalus suckleyi","Squalus suckleyi",NA,1,"TM","SpDog",2,1,"02",50,"1_TM_50_2"
"TM_03_Lingcod","CorrectionBiasPvDiet","MiFish_4","A7","TM_03_Lingcod",1,"TM_03_Lingcod","D","TissueMix","Lingcod","TM_03_Lingcod","Lingcod","03_LingCod",2.008,2.006,3.948,0.508611955420466,0.508105369807497,"Ophiodon elongatus","Lingcod","Ophiodon elongatus","Actinopteri",NA,1,"TM","Lingcod",3,1,"03",24,"1_TM_24_3"
"TM_A8","CorrectionBiasPvDiet","MiFish_3","A8","TM_03_Cockscomb",1,"TM_A8","C","TissueMix","Cockscomb","TM_03_Cockscomb","Cockscomb","03_Cockscomb",1.59,1.59,3.075,0.517073170731707,0.517073170731707,"Anoplarchus purpurescens","High Cockscomb","Anoplarchus","Actinopteri",NA,1,"TM","Cockscomb",3,1,"03",14,"1_TM_14_3"
"TM_01_StarFloun","CorrectionBiasPvDiet","MiFish_4","A8","TM_01_StarFloun",1,"TM_01_StarFloun","D","TissueMix","StarFloun","TM_01_StarFloun","StarFloun","01_StarFloun",5.07454,5.09304,10.19473,0.497761098135998,0.499575761202111,"Platichthys stellatus","Starry flounder","Platichthys","Actinopteri",NA,1,"TM","StarFloun",1,1,"01",52,"1_TM_52_1"
"TM_A9","CorrectionBiasPvDiet","MiFish_3","A9","TM_02_PacSanddab",1,"TM_A9","C","TissueMix","PacSanddab","TM_02_PacSanddab","PacSanddab","02_PacSandDab",5.04981,5.08311,10.10746,0.499612167646471,0.50290676391497,"Citharichthys sordidus","Pacific sanddab","Citharichthys sordidus","Actinopteri",NA,1,"TM","PacSanddab",2,1,"02",33,"1_TM_33_2"
"TM_03_SturPoach","CorrectionBiasPvDiet","MiFish_4","A9","TM_03_SturPoach",1,"TM_03_SturPoach","D","TissueMix","SturPoach","TM_03_SturPoach","SturPoach","03_SturPoach_01",5.00683,5.00123,10.21414,0.49018615370457,0.489637894134993,"Podothecus accipenserinus","Sturgeon Poacher","Podothecus accipenserinus","Actinopteri",NA,1,"TM","SturPoach",3,1,"03",54,"1_TM_54_3"
"TM_01_SlendSol","CorrectionBiasPvDiet","MiFish_4","B1","TM_01_SlendSol",1,"TM_01_SlendSol","D","TissueMix","SlendSol","TM_01_SlendSol","SlendSol","01_SlendSol",5.06,5.062,10.434,0.484953038144528,0.485144719187272,"Lyopsetta exilis","Slender sole","Lyopsetta exilis","Actinopteri",NA,1,"TM","SlendSol",1,1,"01",47,"1_TM_47_1"
"TM_B10","CorrectionBiasPvDiet","MiFish_3","B10","TM_02_NAnch",1,"TM_B10","C","TissueMix","NAnch","TM_02_NAnch","NAnch","02_Nanch",2.002,2.001,4.087,0.489845852703695,0.489601174455591,"Engraulis mordax","Northern anchovy","Engraulis mordax","Actinopteri",NA,1,"TM","NAnch",2,1,"02",26,"1_TM_26_2"
"TM_01_PstahSculp","CorrectionBiasPvDiet","MiFish_4","B10","TM_01_PstahSculp",1,"TM_01_PstahSculp","D","TissueMix","PstahSculp","TM_01_PstahSculp","PstahSculp","01_PstahSculp",5.0396,5.01597,9.99872,0.504024515137938,0.501661212635217,"Leptocottus armatus","Pacific staghorn sculpin","Leptocottus armatus","Actinopteri",NA,1,"TM","PstahSculp",1,1,"01",39,"1_TM_39_1"
"TM_B11","CorrectionBiasPvDiet","MiFish_3","B11","TM_01_3SpinStick",1,"TM_B11","C","TissueMix","3SpinStick","TM_01_3SpinStick","3SpinStick","01_3SpinStick",0.433,0.435,0.857,0.505250875145858,0.507584597432906,"Gasterosteus aculeatus","Three-spined stickleback","Gasterosteus aculeatus","Actinopteri",NA,1,"TM","3SpinStick",1,1,"01",1,"1_TM_1_1"
"TM_03_BlkEelpt","CorrectionBiasPvDiet","MiFish_4","B11","TM_03_BlkEelpt",1,"TM_03_BlkEelpt","D","TissueMix","BlkEelpt","TM_03_BlkEelpt","BlkEelpt","03_BlkEelpt_01",5.0533,5.0122,10.08913,0.500865783273682,0.496792092083262,"Lycodes pacificus","Blackbelly eelpout","Lycodes","Actinopteri",NA,1,"TM","BlkEelpt",3,1,"03",6,"1_TM_6_3"
"TM_B12","CorrectionBiasPvDiet","MiFish_3","B12","TM_02_FltHdSol",1,"TM_B12","C","TissueMix","FltHdSol","TM_02_FltHdSol","FltHdSol","02_FltHdSol",2.01,2.001,4.009,0.50137191319531,0.499126964330257,"Hippoglossoides elassodon","Flathead sole","Hippoglossoides","Actinopteri",NA,1,"TM","FltHdSol",2,1,"02",20,"1_TM_20_2"
"TM_02_LfinSmel","CorrectionBiasPvDiet","MiFish_4","B12","TM_02_LfinSmel",1,"TM_02_LfinSmel","D","TissueMix","LfinSmel","TM_02_LfinSmel","LfinSmel","02_LfSmelt",1.748,1.748,3.401,0.513966480446927,0.513966480446927,"Spirinchus thaleichthys","Longfin smelt","Spirinchus thaleichthys","Actinopteri",NA,1,"TM","LfinSmel",2,1,"02",23,"1_TM_23_2"
"TM_03_Hake","CorrectionBiasPvDiet","MiFish_4","B2","TM_03_Hake",1,"TM_03_Hake","D","TissueMix","Hake","TM_03_Hake","Hake","03_Hake",2.001,2.001,3.781,0.529225072732081,0.529225072732081,"Merluccius productus","Hake","Merluccius productus","Actinopteri",NA,1,"TM","Hake",3,1,"03",22,"1_TM_22_3"
"TM_02_GrtSculp","CorrectionBiasPvDiet","MiFish_4","B3","TM_02_GrtSculp",1,"TM_02_GrtSculp","D","TissueMix","GrtSculp","TM_02_GrtSculp","GrtSculp","02_GrtSculp",5.02283,5.04403,10.1265,0.496008492569002,0.498102009578828,"Myoxocephalus polycanthocephalus","Great sculpin","Myoxocephalus","Actinopteri",NA,1,"TM","GrtSculp",2,1,"02",21,"1_TM_21_2"
"TM_01_ChumSal","CorrectionBiasPvDiet","MiFish_4","B4","TM_01_ChumSal",1,"TM_01_ChumSal","D","TissueMix","ChumSal","TM_01_ChumSal","ChumSal","01_ChumSal",1.937,1.937,3.748,0.516808964781217,0.516808964781217,"Oncorhynchus keta","Chum salmon juv","Oncorhynchus keta","Actinopteri",NA,1,"TM","ChumSal",1,1,"01",12,"1_TM_12_1"
"Plate3_B5","CorrectionBiasPvDiet","MiFish_3","B5","TM_01_AmShad",1,"Plate3_B5","C","TissueMix","AmShad","TM_01_AmShad","AmShad","01_AmShad",1.978,1.979,3.95,0.500759493670886,0.501012658227848,"Alosa sapidissima","American shad","Alosa sapidissima","Actinopteri",NA,1,"TM","AmShad",1,1,"01",2,"1_TM_2_1"
"TM_01_CohoSal","CorrectionBiasPvDiet","MiFish_4","B5","TM_01_CohoSal",1,"TM_01_CohoSal","D","TissueMix","CohoSal","TM_01_CohoSal","CohoSal","01_CohoSal_01",5.01698,5.04191,9.86774,0.508422394590859,0.510948808947135,"Oncorhynchus kisutch","Coho salmon","Oncorhynchus kisutch","Actinopteri",NA,1,"TM","CohoSal",1,1,"01",15,"1_TM_15_1"
"TM_B6","CorrectionBiasPvDiet","MiFish_3","B6","TM_03_Ratfish",1,"TM_B6","C","TissueMix","Ratfish","TM_03_Ratfish","Ratfish","03_RatFish_01",5.07318,5.03659,10.40932,0.487369011616513,0.483853892473284,"Hydrolagus colliei","Ratfish","Hydrolagus colliei","Actinopteri",NA,1,"TM","Ratfish",3,1,"03",41,"1_TM_41_3"
"TM_B6","CorrectionBiasPvDiet","MiFish_3","B6","TM_03_Ratfish",1,"TM_B6","C","TissueMix","Ratfish","TM_03_Ratfish","Ratfish","03_RatFish_01",5.07318,5.03659,10.40932,0.487369011616513,0.483853892473284,"Hydrolagus colliei","Ratfish","Hydrolagus colliei","Actinopteri",NA,1,"TM","Ratfish",3,1,"03",41,"1_TM_41_3"
"TM_03_SockSal","CorrectionBiasPvDiet","MiFish_4","B6","TM_03_SockSal",1,"TM_03_SockSal","D","TissueMix","SockSal","TM_03_SockSal","SockSal","03_SockSal",2.001,2,3.979,0.502890173410405,0.502638853983413,"Oncorhynchus nerka","Sockeye salmon","Oncorhynchus nerka","Actinopteri",NA,1,"TM","SockSal",3,1,"03",49,"1_TM_49_3"
"TM_B7","CorrectionBiasPvDiet","MiFish_3","B7","TM_03_SpDog",1,"TM_B7","C","TissueMix","SpDog","TM_03_SpDog","SpDog","05_SpDog",2.006,2.004,3.899,0.514490895101308,0.513977943062324,"Squalus acanthias/Squalus suckleyi","Spiny-dogfish","Squalus suckleyi","Squalus suckleyi",NA,1,"TM","SpDog",3,1,"03",50,"1_TM_50_3"
"TM_B7","CorrectionBiasPvDiet","MiFish_3","B7","TM_03_SpDog",1,"TM_B7","C","TissueMix","SpDog","TM_03_SpDog","SpDog","05_SpDog",2.006,2.004,3.899,0.514490895101308,0.513977943062324,"Squalus acanthias/Squalus suckleyi","Spiny-dogfish","Squalus suckleyi","Squalus suckleyi",NA,1,"TM","SpDog",3,1,"03",50,"1_TM_50_3"
"TM_01_EngSol","CorrectionBiasPvDiet","MiFish_4","B7","TM_01_EngSol",1,"TM_01_EngSol","D","TissueMix","EngSol","TM_01_EngSol","EngSol","01_EngSol_01",5.05219,5.02354,10.36397,0.487476324227106,0.484711939536683,"Parophrys vetulus","English sole","Parophrys vetulus","Actinopteri",NA,1,"TM","EngSol",1,1,"01",19,"1_TM_19_1"
"TM_B8","CorrectionBiasPvDiet","MiFish_3","B8","TM_01_PadSculp",1,"TM_B8","C","TissueMix","PadSculp","TM_01_PadSculp","PadSculp","01_PadSculp (02_UnkSculp)",1.009,1.008,1.97,0.512182741116751,0.511675126903553,"Artedius fenestralis","Padded sculpin","Artedius fenestralis","Actinopteri",NA,1,"TM","PadSculp",1,1,"01",35,"1_TM_35_1"
"TM_02_StarFloun","CorrectionBiasPvDiet","MiFish_4","B8","TM_02_StarFloun",1,"TM_02_StarFloun","D","TissueMix","StarFloun","TM_02_StarFloun","StarFloun","02_StarFloun",5.02827,5.0261,9.83833,0.511089788612498,0.510869222723775,"Platichthys stellatus","Starry flounder","Platichthys","Actinopteri",NA,1,"TM","StarFloun",2,1,"02",52,"1_TM_52_2"
"TM_B9","CorrectionBiasPvDiet","MiFish_3","B9","TM_03_PacSanddab",1,"TM_B9","C","TissueMix","PacSanddab","TM_03_PacSanddab","PacSanddab","03_PacSandDab",5.02872,5.0589,10.08743,0.4985134965001,0.501505338822673,"Citharichthys sordidus","Pacific sanddab","Citharichthys sordidus","Actinopteri",NA,1,"TM","PacSanddab",3,1,"03",33,"1_TM_33_3"
"TM_01_PlfinMid","CorrectionBiasPvDiet","MiFish_4","B9","TM_01_PlfinMid",1,"TM_01_PlfinMid","D","TissueMix","PlfinMid","TM_01_PlfinMid","PlfinMid","01_PlFinMid",2,2,4.001,0.499875031242189,0.499875031242189,"Porichthys notatus","Plainfin midshipman","Porichthys notatus","Actinopteri",NA,1,"TM","PlfinMid",1,1,"01",36,"1_TM_36_1"
"TM_02_SlendSol","CorrectionBiasPvDiet","MiFish_4","C1","TM_02_SlendSol",1,"TM_02_SlendSol","D","TissueMix","SlendSol","TM_02_SlendSol","SlendSol","02_SlendSol",5.066,5.057,10.138,0.499704083645689,0.498816334582758,"Lyopsetta exilis","Slender sole","Lyopsetta exilis","Actinopteri",NA,1,"TM","SlendSol",2,1,"02",47,"1_TM_47_2"
"TM_C10","CorrectionBiasPvDiet","MiFish_3","C10","TM_03_NAnch",1,"TM_C10","C","TissueMix","NAnch","TM_03_NAnch","NAnch","03_Nanch",2.001,2,4.821,0.415059116365899,0.414851690520639,"Engraulis mordax","Northern anchovy","Engraulis mordax","Actinopteri",NA,1,"TM","NAnch",3,1,"03",26,"1_TM_26_3"
"TM_02_PstahSculp","CorrectionBiasPvDiet","MiFish_4","C10","TM_02_PstahSculp",1,"TM_02_PstahSculp","D","TissueMix","PstahSculp","TM_02_PstahSculp","PstahSculp","02_PstahSculp",5.03561,5.0566,9.83997,0.51175054395491,0.513883680539676,"Leptocottus armatus","Pacific staghorn sculpin","Leptocottus armatus","Actinopteri",NA,1,"TM","PstahSculp",2,1,"02",39,"1_TM_39_2"
"TM_C11","CorrectionBiasPvDiet","MiFish_3","C11","TM_02_3SpinStick",1,"TM_C11","C","TissueMix","3SpinStick","TM_02_3SpinStick","3SpinStick","02_3SpinStick",1.207,1.208,2.441,0.494469479721426,0.494879147890209,"Gasterosteus aculeatus","Three-spined stickleback","Gasterosteus aculeatus","Actinopteri",NA,1,"TM","3SpinStick",2,1,"02",1,"1_TM_1_2"
"TM_01_SurfSmel","CorrectionBiasPvDiet","MiFish_4","C11","TM_01_SurfSmel",1,"TM_01_SurfSmel","D","TissueMix","SurfSmel","TM_01_SurfSmel","SurfSmel","01_SurfSmel",5.0496,5.06321,10.23772,0.493234821815795,0.494564219376971,"Hypomesus pretiosus","Surf smelt","Hypomesus pretiosus","Actinopteri",NA,1,"TM","SurfSmel",1,1,"01",55,"1_TM_55_1"
"TM_C12","CorrectionBiasPvDiet","MiFish_3","C12","TM_03_FltHdSol",1,"TM_C12","C","TissueMix","FltHdSol","TM_03_FltHdSol","FltHdSol","03_FltHdSol",2.003,2.003,3.879,0.516370198504769,0.516370198504769,"Hippoglossoides elassodon","Flathead sole","Hippoglossoides","Actinopteri",NA,1,"TM","FltHdSol",3,1,"03",20,"1_TM_20_3"
"TM_03_LfinSmel","CorrectionBiasPvDiet","MiFish_4","C12","TM_03_LfinSmel",1,"TM_03_LfinSmel","D","TissueMix","LfinSmel","TM_03_LfinSmel","LfinSmel","03_LfSmelt",1.897,1.896,3.77,0.503183023872679,0.502917771883289,"Spirinchus thaleichthys","Longfin smelt","Spirinchus thaleichthys","Actinopteri",NA,1,"TM","LfinSmel",3,1,"03",23,"1_TM_23_3"
"TM_01_PacTom","CorrectionBiasPvDiet","MiFish_4","C2","TM_01_PacTom",1,"TM_01_PacTom","D","TissueMix","PacTom","TM_01_PacTom","PacTom","01_PacTom",2.004,2.003,4.148,0.483124397299904,0.482883317261331,"Microgadus proximus","Pacific tomcod","Microgadus proximus","Actinopteri",NA,1,"TM","PacTom",1,1,"01",34,"1_TM_34_1"
"TM_03_GrtSculp","CorrectionBiasPvDiet","MiFish_4","C3","TM_03_GrtSculp",1,"TM_03_GrtSculp","D","TissueMix","GrtSculp","TM_03_GrtSculp","GrtSculp","03_GrtSculp",5.03438,5.02503,9.93982,0.506486032946271,0.505545372048991,"Myoxocephalus polycanthocephalus","Great sculpin","Myoxocephalus","Actinopteri",NA,1,"TM","GrtSculp",3,1,"03",21,"1_TM_21_3"
"TM_02_ChumSal","CorrectionBiasPvDiet","MiFish_4","C4","TM_02_ChumSal",1,"TM_02_ChumSal","D","TissueMix","ChumSal","TM_02_ChumSal","ChumSal","02_ChumSal",1.802,1.872,3.674,0.490473598258029,0.509526401741971,"Oncorhynchus keta","Chum salmon juv","Oncorhynchus keta","Actinopteri",NA,1,"TM","ChumSal",2,1,"02",12,"1_TM_12_2"
"Plate3_C5","CorrectionBiasPvDiet","MiFish_3","C5","TM_01_PacSanLan",1,"Plate3_C5","C","TissueMix","PacSanLan","TM_01_PacSanLan","PacSanLan","01_PSanLan",1.841,1.84,3.52,0.523011363636364,0.522727272727273,"Ammodytes personatus","Pacific sandlance","Ammodytes personatus","Actinopteri",NA,1,"TM","PacSanLan",1,1,"01",32,"1_TM_32_1"
"TM_02_CohoSal","CorrectionBiasPvDiet","MiFish_4","C5","TM_02_CohoSal",1,"TM_02_CohoSal","D","TissueMix","CohoSal","TM_02_CohoSal","CohoSal","02_CohoSal_01",5.06339,5.09212,9.99216,0.506736281244496,0.509611535443788,"Oncorhynchus kisutch","Coho salmon","Oncorhynchus kisutch","Actinopteri",NA,1,"TM","CohoSal",2,1,"02",15,"1_TM_15_2"
